Condition,Cross-validation score
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.8715378811242237
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.8715097564757818
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=random), +indicator",0.8578336876417154
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=ascending), +indicator",0.8578336876417154
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=roman), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=ascending), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=random), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=roman), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=ascending), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=roman), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=mean, order=random), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=random), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=median, order=ascending), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=ascending), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=ascending), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=roman), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=20, initial=mean, order=random), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=mean, order=random), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=10, initial=median, order=roman), +indicator",0.8574185776375643
"Target encoding (smoothing 1.0), iterative imputation (max_iter=5, initial=median, order=roman), +indicator",0.8574185776375643
