Condition,Cross-validation score
"One-hot encoding, KNN imputation (3 neighbors), +indicator",0.1041955660870137
"Target encoding (smoothing 0.1), iterative imputation, +indicator",0.10426628588910215
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), +indicator",0.10452539785982269
"Target encoding (smoothing 10.0), iterative imputation, +indicator",0.10468403797039433
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), +indicator",0.10488235950126534
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), +indicator",0.10492561006288591
"One-hot encoding, KNN imputation (5 neighbors), +indicator",0.10496587160979333
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), +indicator",0.1061470356408952
"Target encoding (smoothing 10.0), iterative imputation, -indicator",0.10684524376420576
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), +indicator",0.10747249694306739
"Target encoding (smoothing 1.0), iterative imputation, -indicator",0.10764975479224079
"Target encoding (smoothing 1.0), iterative imputation, -indicator",0.10796219257090868
"Target encoding (smoothing 0.1), iterative imputation, -indicator",0.10797007557119755
"Target encoding (smoothing 10.0), iterative imputation, -indicator",0.10836100598346071
"Target encoding (smoothing 0.1), iterative imputation, -indicator",0.10846811318428927
"One-hot encoding, iterative imputation, -indicator",0.10846927517453352
"One-hot encoding, iterative imputation, -indicator",0.10972291223265265
"Target encoding (smoothing 0.1), KNN imputation (7 neighbors), -indicator",0.11287153947670922
"Target encoding (smoothing 0.1), iterative imputation, -indicator",0.11312198653492915
"One-hot encoding, KNN imputation (7 neighbors), -indicator",0.11348103176100569
"One-hot encoding, iterative imputation, -indicator",0.11391007430097108
"Target encoding (smoothing 10.0), iterative imputation, -indicator",0.11416406207511388
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), -indicator",0.11417641390715455
"One-hot encoding, KNN imputation (5 neighbors), -indicator",0.11434638529521872
"Target encoding (smoothing 1.0), iterative imputation, -indicator",0.11475740103833011
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), -indicator",0.11531845414865663
"Target encoding (smoothing 0.1), KNN imputation (7 neighbors), -indicator",0.11558815587436494
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), -indicator",0.1157643644562949
"One-hot encoding, KNN imputation (7 neighbors), -indicator",0.11591212458948674
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), -indicator",0.11597676082942311
"One-hot encoding, KNN imputation (5 neighbors), -indicator",0.11627830245027466
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), -indicator",0.11684302863384108
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), -indicator",0.11752613736696499
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), -indicator",0.1175490289515466
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), -indicator",0.11769276017106896
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), -indicator",0.11813075043794924
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), -indicator",0.11817249015116162
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), -indicator",0.11824899974594258
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), -indicator",0.11832174299762543
"One-hot encoding, KNN imputation (3 neighbors), -indicator",0.11833583218845929
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), -indicator",0.11879208831927378
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), -indicator",0.11917705105299953
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), -indicator",0.11944587794551163
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), -indicator",0.1195236616241566
"One-hot encoding, KNN imputation (3 neighbors), -indicator",0.11996497049935329
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), -indicator",0.1200528794515416
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), -indicator",0.12060827462863696
"Target encoding (smoothing 0.1), KNN imputation (7 neighbors), -indicator",0.12066805711495673
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), -indicator",0.12096058105252269
"Target encoding (smoothing 0.1), KNN imputation (7 neighbors), -indicator",0.12101016583730081
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), -indicator",0.12101883181044373
"One-hot encoding, KNN imputation (7 neighbors), -indicator",0.12106754134400657
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), -indicator",0.1211878123723375
"One-hot encoding, KNN imputation (7 neighbors), -indicator",0.12194631542091797
"One-hot encoding, KNN imputation (5 neighbors), -indicator",0.12217253483329132
"One-hot encoding, KNN imputation (3 neighbors), -indicator",0.12272032835902993
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), -indicator",0.12285065544774129
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), -indicator",0.12291227653650681
"One-hot encoding, KNN imputation (5 neighbors), -indicator",0.12302345344819761
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), -indicator",0.12377673722362471
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), -indicator",0.123857759354091
"One-hot encoding, KNN imputation (3 neighbors), -indicator",0.12407988610679871
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), -indicator",0.12417836588192625
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), -indicator",0.12498260066943688
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), -indicator",0.1252360700212797
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), -indicator",0.12547533482536097
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), -indicator",0.1263387823813458
"One-hot encoding, KNN imputation (7 neighbors), -indicator",0.12676312109207652
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), -indicator",0.12761232576050086
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), -indicator",0.12853901177937493
"Target encoding (smoothing 0.1), KNN imputation (7 neighbors), -indicator",0.12861866541897332
"Target encoding (smoothing 1.0), KNN imputation (7 neighbors), -indicator",0.12881907981064852
"Target encoding (smoothing 10.0), KNN imputation (5 neighbors), -indicator",0.1294838183249733
"Target encoding (smoothing 10.0), KNN imputation (7 neighbors), -indicator",0.12953920305261515
"One-hot encoding, KNN imputation (5 neighbors), -indicator",0.13033540000687535
"Target encoding (smoothing 0.1), KNN imputation (5 neighbors), -indicator",0.13046489494827346
"One-hot encoding, KNN imputation (3 neighbors), -indicator",0.13083100280171783
"Target encoding (smoothing 1.0), KNN imputation (5 neighbors), -indicator",0.13119593394366766
"Target encoding (smoothing 1.0), KNN imputation (3 neighbors), -indicator",0.13300123218279677
"Target encoding (smoothing 0.1), KNN imputation (3 neighbors), -indicator",0.13458273956882538
"Target encoding (smoothing 10.0), KNN imputation (3 neighbors), -indicator",0.13580584116697436
